Pais,Social support,Healthy life expectancy,Freedom to make life choices
Comoros,0.625662446,57.34901047,0.547612607
Togo,0.551312625,54.71989822,0.649828613
Ethiopia,0.743307352,58.63959122,0.740795195
Madagascar,0.668195903,59.10542679,0.557574093
Egypt,0.735447824,61.78015137,0.708354175
Sierra Leone,0.636142015,50.86514282,0.715315044
Burundi,0.490325719,53.40000153,0.626350224
Zambia,0.698824465,55.29937744,0.806500256
Haiti,0.593247831,55.59862518,0.537825167
Lesotho,0.780495703,48.00362396,0.738125861
India,0.592200935,60.21518707,0.881444871
Malawi,0.544007301,57.59288788,0.803223193
Yemen,0.817980587,56.72728348,0.599920273
Botswana,0.779121757,58.92445374,0.821328104
Tanzania,0.688933194,57.49607468,0.82153976
Central African Republic,0.319459856,45.20000076,0.640880644
Rwanda,0.54083544,61.09884644,0.900589406
Zimbabwe,0.763092756,55.61725998,0.711457908
South Sudan,0.553707123,51,0.451313615
Afghanistan,0.470366955,52.59000015,0.396573007
